row_ID	ut	title	journal	date	doi	tot_cites	abstract	authors	n_aut	authors_id	author_country	keywords	Publication_year	Assignment	Analysis	Geography	Geography_verbatim	Year	Domain	Habitat_verbatim	Method_data_collection	Method_AI_title	Method_Omics_title	Method_verbatim	Title_biodiversity_string	Title_geo	Title_taxon	Title_hab	Taxon_specific	Taxonomic_div	Phylogenetic_div	Functional_div	Other_div	Other_diversity_string	Acanthocephala	Acoelomorpha	Annelida	Arthropoda	Brachiopoda	Bryozoa	Chaetognatha	Chordata	Cnidaria	Ctenophora	Cycliophora	Echinodermata	Entoprocta	Gastrotricha	Gnathostomulida	Hemichordata	Kinorhyncha	Loricifera	Micrognathozoa	Mollusca	Nematoda	Nematomorpha	Nemertea	Onychophora	Orthonectida	Phoronida	Placozoa	Platyhelminthes	Porifera	Priapulida	Rhombozoa	Rotifera	Sipuncula	Tardigrada	Xenoturbellida	Algae	Bryophyta	Pteridophyta	Gimnosperm	Angiosperms	Opisthosporidia	Chytridiomycota	Neocallimastigomycota	Blastocladiomycota	Zoopagomycota	Mucoromycota	Glomeromycota	Basidiomycota	Ascomycota	Protista	Bacteria	Archaea	Virus	Animal_generic	Plant_generic	Fungi_generic	Note
14	WOS:000264379300002	Assessing and conserving groundwater biodiversity: an introduction	Freshwater Biology	01/04/2009	10.1111/j.1365-2427.2009.02202.x	61	1. This paper is an introduction to and overview of a special issue on groundwater ecology with a focus on biodiversity assessment and conservation. The subterranean environment harbours unique biological communities of remarkable diversity, comprising both microorganisms and micro-, meio- and macrofauna. This biodiversity of ground waters remains poorly known compared to that of freshwater surface habitats. 2. The papers in this special issue summarise the outcome of a large-scale European survey, the PASCALIS project (Protocol for the ASsessment and Conservation of Aquatic Life In the Subsurface), complemented by results from a few other comprehensive studies on groundwater diversity. The papers fall into five broad groups. The first group reviews the biology and ecology of poorly investigated but important subterranean taxa such as Bacteria and Archaea, Oligochaeta and Copepoda. Five papers deal with groundwater biodiversity patterns in the six selected PASCALIS regions. Issues addressed range from broad-scale diversity patterns to partitioning of species richness, cryptic diversity, sampling methodology, and the use of surrogate taxonomic groups for assessing overall diversity. Four papers analyse biodiversity patterns in single European regions, the French Jura, the Walloon region of Belgium, the Lessinian Mountains of Italy and south-western Germany. Two additional papers address the issue of site selection for the conservation and protection of groundwater species, and the fifth group of three papers expands two central PASCALIS themes - sampling adequacy and the role of dispersal. Finally, a concluding synthesis paper summarises advances in understanding groundwater biodiversity patters and conservation and points out important challenges for future research. 3. Collectively, the information presented in this special issue represents the first broad-scale examination of aquatic subterranean diversity based on a rigorously standardised sampling protocol, the first examination of stygofauna patterns in both karstic and non-karstic aquifers, a first step toward integrating traditional and molecular taxonomic studies of groundwater biodiversity, and a start toward elaborating strategies for groundwater reserve selection.	Gibert, Janine ; Culver, David C.	2	1138618 ; 348365	France ; USA	groundwater biodiversity patterns ; groundwater ecology ; karst ; porous aquifers ; sampling strategy	2009	Example	yes	Palearctic	Europe	NA	Freshwater ; Saltwater	Groundwater	Big data ; Review/Opinion	0	0	NA	Groundwater biodiversity	0	0	1	NA	1	0	0	0	NA	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
17	WOS:000344735500005	Biodiversity Researches on Microbial Loop in Aquatic Systems	Biodiversity in Aquatic Systems and Environments: Lake Biwa	01/01/2014	10.1007/978-4-431-54150-9_3	1	"The food linkage between heterotrophic bacteria and protists is so-called ""microbial loop,"" functioning as important matter cycling in pelagic food webs. Biomass of heterotrophic bacteria sometimes predominates total heterotrophic biomass in lakes, and organic matter transfer started from heterotrophic bacteria has been intensively studied by numerous researchers all over the world. The roles of planktonic protists, such as heterotrophic nanoflagellates and ciliates, in microbial loop are to consume bacteria that are too small to serve directly as major prey items for most zooplankters, and to be themselves utilized by the zooplankton. There is a consensus that food linkages between bacteria and protists are substantial in many lakes. In addition, bacterial loss due to viral lysis has also been paid great attention by many researchers since the late 1990. The present review provides the overview on the trend and future stage of microbial loop researches in freshwater systems, with special reference to culture-independent molecular techniques such as PCR cloning and sequencing, fluorescently in situ hybridization or denaturing gradient gel electrophoresis for phylogenetic analyses on microbial communities. A review on ecology and biodiversity researches on microbial loop in Lake Biwa is also provided."	Agata, Kiyokazu	1	64274	Japan ; Japan	bacteria ; biodiversity ; ciliates ; culture-independent molecular techniques ; lakes ; microbial food web ; microbial loop ; nanoflagellates ; protists	2014	Example	yes	Global	A focus on Lake Biwa	NA	Freshwater ; Saltwater	Lakes	Review/Opinion	0	0	NA	Biodiversity ... microbial ... aquatic 	0	1	0	Microbes, phytoplankton, zooplankton	0	1	0	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Most taxa taken from Figure 1
455	WOS:000209520600004	Framing local outcomes of biodiversity conservation through ecosystem services: A case study from Ranomafana, Madagascar	Ecosystem Services	01/03/2013	10.1016/j.ecoser.2012.12.003	37	Conservation can have both positive and negative effects on human well-being by causing changes in ecosystem service flows and reallocation of the distribution of benefits. This can lead to different, sometimes contradictory, outcomes of conservation. We studied local perceptions of ecosystem service flows in the Ranomafana National Park area of Madagascar to examine the local outcomes of conservation. The Ranomafana forest area provides a variety of benefits that contribute considerably to local inhabitants' livelihoods and well-being. Changes in ecosystem service flows alter the provision of many important ecosystem services at the local level, which is likely to affect local livelihoods negatively and increase local vulnerability and inequality. The findings indicate the presence of trade-offs between types of ecosystem services and between different societal goals, namely conservation and development. Benefit trade-offs also occur within and between beneficiary groups and across spatial and temporal scales. Although conservation might prove beneficial for local people in the long run, its immediate local costs are high. The findings reveal the importance of integrating local perceptions of ecosystem services into conservation planning. In addition, there is a need for further negotiations of the trade-offs between ecosystem services, conservation and development in Ranomafana. (C) 2013 Elsevier B.V. All rights reserved.	Kari, Susanna ; Korhonen-Kurki, Kaisa	2	6847040 ; 3313968	Finland ; Indonesia ; Finland	ecosystem services ; conservation ; ecosystem service flows ; conservation outcomes ; trade-offs ; madagascar	2013	Ana Munévar	yes	Afrotropical	The Ranomafana fores	2009	Terrestrial	Forest	Field sampling	0	0	Individual interviews in human village communities	Biodiversity conservation	1	0	0	NA	0	0	0	1	Ecosystem services such Provisioning services; Regulating services; Cultural services; Supporting services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Biodiversity also considered natural elements availability as water, soil, shade, air and water cycling.  
1436	WOS:000227647600008	Political incentives for biodiversity conservation	Conservation Biology	01/04/2005	NA	22	There seems to be a worldwide lack of political will for conservation that leads, inevitably, to an undermining of conservation policy. This is a standard complaint but one that has received little academic attention. In an attempt to better understand the gap between conservation policy and practice, we examined conservation policies and practice as they have played out in the Great Himalayan National Park, Himachal Pradesh, India, over the past two decades. In particular we consider the park's experience within two larger contexts: (1) Himachal's current development orientation, which seeks to transform the state into the electrical powerhouse of the country by building over 300 medium and large power projects and (2) electoral politics that result in politician's support for villagers and others denied access to national parks and wildlife sanctuaries. Each of these factors works to undermine state conservation policies. Conservationists need to build political bridges with local communities if they are to use electoral power to work for rather than against conservation. Only such electoral power can be expected to force governments to adopt more cautious policies in advancing a particular development agenda. In the absence of strategic alignments in places such as Himachal Pradesh with strong democratic traditions, one must expect continued political support for potentially destructive megaprojects and an absence of political support for the conservation of biological diversity.	Chhatre, A ; Saberwal, V	2	1510361 ; 6158276	USA ; India	community participation ; conservation policy ; electoral politics ; himalayas ; hydroelectric projects ; india ; south asia	2005	Ana Munévar	yes	Indomalayan	Great Himalayan National Park (GHNP)	NA	Terrestrial	Forest	Review/Opinion	0	0	Politics of conservation and the politics of development in the GHNP were also assessed to understand the implication of democracy for biodiversity conservation.	Biodiversity conservation	0	0	0	NA	0	0	0	1	Provisioning services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	NA
1098	WOS:000332452300003	Biodiversity of transitional waters: species composition and comparative analysis of hard bottom communities from the south- eastern Italian coast	Journal of the Marine Biological Association of the United Kingdom	01/02/2014	10.1017/S0025315413001306	12	Numerous studies have focused on the soft bottom macrozoobenthos from Mediterranean transitional environments, pointing out a correlation between the variation in environmental parameters and changes occurring in benthic communities. Less attention has been paid to the study of hard bottom organisms settling on both natural and artificial substrates usually present within the basins and often constituting peculiar communities. The ecological role of such communities is remarkable, since they often reach high values of species richness and include bioconstructor organisms able to build true reefs. These reefs can strongly impact the environment, improving biodiversity through the increase of spatial heterogeneity. The present work aims to supplement new faunistic data on five lagoon systems of the south-eastern Italian coast, integrating the still fragmentary knowledge of their macrozoobenthos through the study of hard substrate communities. Sampling was performed on hard substrates colonized by complex benthic communities. The assemblages recorded were then compared in the light of the study sites' main ecological traits. Our data highlighted the occurrence of a rich benthic macrofauna, with 100 taxa found. This markedly increases the value of species richness reported in the literature for the macrozoobenthos of the study sites. In particular, the species list provided for the Ugento Basins was the first ever compiled for this site. In spite of their geographical proximity, the investigated sites, according to their diverse environmental conditions, showed substantial differences as regards their respective macrozoobenthic communities.	Cardone, Frine ; Corriero, Giuseppe ; Fianchini, Alessandra ; Gravina, Maria Flavia ; Marzano, Carlotta Nonnis	5	2680893 ; 469636 ; 2798400 ; 1622585 ; 2608568	Italy ; Italy	biodiversity ; transitional waters ; hard substrate ; macrozoobenthos ; italian coast ; mediterranean sea	2014	Ana Munévar	yes	Palearctic	Lagoons in the south-eastern Italian coast 	2007	Freshwater ; Saltwater	TransTransitional water systems	Field sampling	0	0	NA	Biodiversity of transitional waters 	1	0	1	Macrozoobenthos	1	0	0	0	NA	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Also considered Tunicata phylum
1898	WOS:000386912000013	The bioenergy potential of Natura 2000-a synergy between climate change mitigation and biodiversity protection	Frontiers in Ecology and the Environment	01/11/2016	10.1002/fee.1425	12	Climate change and biodiversity loss are two of the greatest challenges of the 21st century. To date, actions proposed by the international community to address these problems have largely been conducted in a piecemeal fashion. Conservation biologists advocate for low-intensity management in temperate protected areas to maintain and restore biodiversity. Low-input, high-diversity biomass from such areas has been proposed as a promising alternative bioenergy feedstock. Here, we show that there is a vast unexploited biomass-for-bioenergy potential present in Natura 2000, the European nature conservation network. Spanning 7.5 million hectares (ha), non-forest ecosystems within Natura 2000 have a biomass production of 17.9 teragrams (Tg) of dry matter annually. The conversion of this biomass to bioenergy will not lead to the displacement of food production systems, thereby avoiding 12.5 Tg of carbon dioxide equivalent greenhouse-gas emissions and circumventing between 1.2 and 2.8 million ha of indirect land-use change. The use of conservation biomass as bioenergy feedstock clearly offers the opportunity to reconcile biodiversity goals and climate-change mitigation.	Van Meerbeek, Koenraad ; Ottoy, Sam ; de Andres Garcia, Maria ; Muys, Bart ; Hermy, Martin	5	3121616 ; 5319734 ; 25840756 ; 77221 ; 35886609	Belgium ; Spain	NA	2016	Ana Munévar	yes	Palearctic	Europe	NA	Terrestrial	Meadows ; Dunes ; Grasslands ; Heathlands ; Wetlands	Big data	0	0	Bioenergy production and emissions of greenhouse gases (GHG) savings	Biodiversity protection	0	0	0	NA	0	0	0	1	Biomass prodution and harvest efficiency in non-forest semi-natural areas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
2433	WOS:000518695100044	Protected areas as potential refugia for biodiversity under climatic change	Biological Conservation	01/01/2020	10.1016/j.biocon.2019.108258	9	Climate change is among the greatest challenges to biodiversity conservation globally. In response to climatic changes, species around the world have already started to shift their ranges along altitudinal and latitudinal gradients. However, it remains unclear whether the areas currently managed for biodiversity protection are optimized for these shifting ranges. Climate velocities represent a method to quantify the rate at which organisms must alter their range to maintain their current climate envelope. Here we use a case study of the Southern Rockies region in the western United States to show how forward and backward climate velocities can be used to quantify potential impacts of climatic changes and delineate abiotic climate refugia. We further illustrate how climate velocities can integrate into a process that simultaneously identifies climate refugia for suites of species while accounting for additional landscape factors contributing to protected area success. These results demonstrate how potential climatic changes may be used to prioritize the efficient selection of climate refugia, potentially aiding multi-target climate adaptation decision-making across broad regions.	Haight, Jeffrey ; Hammill, Edd	2	28025504 ; 35223539	USA ; USA ; USA	climate change refugia ; climate velocity ; conservation planning ; protected areas ; southern rockies ; threatened species	2020	Ana Munévar	yes	Nearctic	Southern Rockies region of the western United States	NA	Terrestrial	Protected areas within the Southern Rockies region	Big data	0	0	Climate velocity change projections within the study area and, presense of terrestrial wildlife vertebrates species that are listed under the Red List of the IUCN were used to detect potential area for biodiversity refugia.	refugia for biodiversity	0	0	0	Vertebrates	1	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
2988	WOS:000501242900010	Characterization of fungal biodiversity and communities associated with the reef macroalga Sargassum ilicifolium reveals fungal community differentiation according to geographic locality and algal structure	Marine Biodiversity	01/12/2019	10.1007/s12526-019-00992-6	8	Marine environments abound with opportunities to discover new species of fungi even in relatively well-studied ecosystems such as coral reefs. Here, we investigated the fungal communities associated with the canopy forming macroalga Sargassum ilicifolium(Turner) C. Argardh (1820) in Singapore. We collected eight S. ilicifolium thalli from each of eight island locations and separated them into three structures-leaves, holdfast and vesicles. Amplicon sequencing of the fungal internal transcribed spacer 1 (ITS1) and subsequent analyses revealed weak but significant differences in fungal community composition from different structures. Fungal communities were also significantly different among sampling localities, even over relatively small spatial scales (<= 12 km). Unsurprisingly, all structures from all localities were dominated by unclassified fungi. Our findings demonstrate the potential of marine environments to act as reservoirs of undocumented biodiversity that harbour many novel fungal taxa. These unclassified fungi highlight the need to look beyond terrestrial ecosystems in well-studied regions of the world, and to fully characterize fungal biodiversity in hotspots such as Southeast Asia for better understanding the roles they play in promoting and maintaining life on our planet.	Wainwright, Benjamin J. ; Bauman, Andrew G. ; Zahn, Geoffrey L. ; Todd, Peter A. ; Huang, Danwei	5	34639639 ; 1787404 ; 31504945 ; 32020 ; 30437455	Singapore ; USA ; Singapore	coral reefs ; fungal its ; marine fungi ; microbiome ; singapore ; southeast asia	2019	Ana Munévar	yes	Indomalayan	Singapur	2018	Saltwater	Coral reefs	Field sampling	0	0	The ITS1 (Internal transcribed spacer) sequences were used to characterice fungal orders associated with the reef macroalga Sargassum ilicifolium.	Fungal biodiversity	0	1	1	Fungi	1	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA
3432	WOS:000229939500013	Detecting biodiversity hotspots using species-area and endemics-area relationships: the case of butterflies	Biodiversity and Conservation	01/07/2005	10.1007/s10531-004-2526-6	42	Using data of the Red Data Book of European Butterflies we establish the species-area relationship (S = 8.5 A(0.23)) and the endemics-area relationship (S = 0.5 A(0.18)) of European butterflies. Applying confidence limits as tools for the identification of hotspot countries we show that in the case of butterflies hotspots of endemism and hotspots of overall species richness do not coincide. We introduce plots of residuals from species-area relationships shifted upwards by the 95% confidence limits of the intercept (alpha-values) as a new tool for identifying and ranking of hotspots.	Ulrich, W ; Buszko, J	2	141746 ; 2851089	Poland	endemics ; hotspots ; lepidoptera ; rhopalocera ; species-area relationship	2005	Ana Munévar	yes	Palearctic	Europe	NA	Terrestrial	NA	Big data	0	0	Species–area relationships (SARs) for endemic species  (so-called endemics–area relations, EARs)	Biodiversity hotspot	0	1	0	Butterflies	1	0	0	1	Áreas of endemic species	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
3778	WOS:000266305500009	Infaunal macroinvertebrate assemblages of the eastern Great Australian Bight: effectiveness of a marine protected area in representing the region's benthic biodiversity	Marine and Freshwater Research	01/01/2009	10.1071/MF08239	13	Marine reserves are used widely throughout the world to conserve biodiversity, but in many instances uncertainties exist over how well these areas represent biodiversity at a regional scale (i.e. 100-1000 km). In the present study, infaunal assemblages were examined in the eastern Great Australian Bight (GAB) to evaluate the efficacy of the Benthic Protection Zone of the GAB Marine Park in representing regional biodiversity. Distributional patterns in infauna were further examined in relation to epifaunal species composition and environmental conditions to investigate structural forcing. Grab samples of infauna were collected from the same 65 sites sampled in an earlier survey of epifauna. In total, 240 taxa belonging to 11 phyla were collected. Most taxa were uncommon, with 96% representing less than 2% of the total number of individuals collected and 39% occurring at only one site. Unlike the epifauna, the infauna of the eastern GAB does not appear to be particularly diverse. Sessile filter feeders dominated the infaunal communities of the inner shelf, whereas motile, deposit-feeding organisms dominated the shelf break. As was the case with the epifauna, the highest numbers of taxa and individuals were recorded near the head of the bight and in inner-shelf waters off the western Eyre Peninsula, where productivity is enhanced by upwelling. Cluster analysis identified three community groupings, which were strongly correlated with depth. All three communities and 72% (172) of the 240 taxa collected were represented within the Benthic Protection Zone of the GAB Marine Park, confirming findings from the epifaunal survey that this protected area is well placed to represent the benthic biodiversity of the eastern GAB.	Currie, David R. ; Sorokin, Shirley J. ; Ward, Tim M.	3	2026160 ; 3620019 ; 707385	Australia	continental shelf ; epifauna ; macrobenthos ; soft-sediment ; temperate	2009	Ana Munévar	yes	Australasian	Great Australian Bight (GAB)	2006	Freshwater	Benthic Protection Zone of the GAB Marine Park	Field sampling	0	0	Benthic invertebrates were collected at each site using a 0.1-m2 Smith–McIntyre grab.	Benthic biodiversity 	1	1	1	Infaunal macroinvertebrate	1	0	1	0	NA	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Also considered Sarcodina sub phylum
